ville,canton,prix_metre_carre_moyen
Echallens,VD,6806.705081194343
Echandens,VD,12152.677279305355
Echarlens,FR,0.0
Echichens,VD,9792.64475743349
Eclépens,VD,7336.700336700336
Ecublens,VD,8292.991329479768
Eggenwil,AG,0.0
Eggersriet,SG,0.0
Egliswil,AG,0.0
Ehrendingen,AG,0.0
Eiken,AG,7288.557213930349
Einsiedeln,SZ,0.0
Embrach,ZH,0.0
Emmetten,NW,0.0
Epalinges,VD,12081.999810623995
Ergisch,VS,0.0
Erlen,TG,0.0
Erlinsbach,AG,9940.88669950739
Ermatingen,TG,0.0
Ermensee,LU,0.0
Ernen,VS,0.0
Eschenbach,SG,5305.06721820062
Eschlikon,TG,0.0
Escholzmatt-Marbach,LU,0.0
Essertines-sur-Yverdon,VD,6929.303831624393
Estavayer,FR,6521.776186823489
Etagnières,VD,7810.304449648712
Etoy,VD,8957.103502558048
Ettingen,BL,9484.463276836159
Evilard,BE,0.0
Evolène,VS,4268.292682926829
Eysins,VD,10990.252547629596
Fahy,JU,1925.0317662007624
Faido,TI,3053.72082782915
Faoug,VD,0.0
Fehraltorf,ZH,0.0
Felben-Wellhausen,TG,0.0
Ferpicloz,FR,0.0
Ferreyres,VD,0.0
Fey,VD,7195.838986883763
Fieschertal,VS,0.0
Finhaut,VS,3807.0063694267515
Fischingen,TG,0.0
Fisibach,AG,0.0
Fislisbach,AG,0.0
Flawil,SG,0.0
Flims,GR,15939.505041246563
Fontaines-sur-Grandson,VD,0.0
Fontenais,JU,3624.756335282651
Forel (Lavaux),VD,7410.791993037424
Forst-Längenbühl,BE,0.0
Founex,VD,15857.245337159255
Frauenfeld,TG,0.0
Frauenkappelen,BE,9490.407673860911
Freienbach,SZ,14602.076124567475
Fribourg,FR,0.0
Frick,AG,6566.9132481506385
Froideville,VD,0.0
Frutigen,BE,0.0
Fulenbach,SO,0.0
Fully,VS,5680.990700307294
Fällanden,ZH,0.0
Féchy,VD,11874.090247452692
Fétigny,FR,5576.470588235294
Füllinsdorf,BL,8866.525423728814
Gachnang,TG,0.0
Galgenen,SZ,0.0
Gals,BE,7260.334212840809
Gambarogno,TI,7005.407029137879
Gampel-Bratsch,VS,0.0
Gansingen,AG,0.0
Gebenstorf,AG,0.0
Genthod,GE,10924.488355681016
Genève,GE,14692.10754553339
Gibloux,FR,5946.635294117647
Giez,VD,6539.842067480258
Gilly,VD,9518.225847565638
Gimel,VD,7887.867647058823
Giornico,TI,2222.222222222222
Gipf-Oberfrick,AG,6577.563540753725
Giswil,OW,0.0
Givisiez,FR,6848.62043251305
Givrins,VD,11192.700621853717
Gland,VD,9956.602893140458
Glarus Nord,GL,4452.083333333333
Glarus Süd,GL,3694.8249619482494
Glattfelden,ZH,10270.403146509341
Gletterens,FR,6560.920830993824
Goldach,SG,0.0
Gollion,VD,7988.649262202043
Gommiswald,SG,7693.9655172413795
Goms,VS,0.0
Gontenschwil,AG,6486.486486486487
Gossau,SG,0.0
Gossau,ZH,0.0
Goumoëns,VD,0.0
Grabs,SG,0.0
Grancy,VD,10654.911838790931
Grandevent,VD,5058.365758754864
Grandfontaine,JU,0.0
Grandson,VD,9967.30083234245
Grandvillard,FR,6843.886462882096
Granges-Paccot,FR,6887.340301974448
Gravesano,TI,0.0
Grenchen,SO,6273.584905660377
Grengiols,VS,0.0
Grens,VD,0.0
Greppen,LU,0.0
Grimisuat,VS,5983.477774671513
Grolley,FR,6002.663115845539
Gruyères,FR,7873.462214411248
Gryon,VD,8864.64250734574
Grächen,VS,7438.721136767318
Grône,VS,5519.215044971382
Gsteig,BE,12711.538461538461
Gurmels,FR,5804.2328042328045
Guttet-Feschel,VS,0.0
Gy,GE,12550.11135857461
Hallau,SH,0.0
Hasle,LU,0.0
Hasle bei Burgdorf,BE,0.0
Hauenstein-Ifenthal,SO,0.0
Hausen am Albis,ZH,0.0
Haut-Intyamon,FR,4650.6361323155215
Haute-Ajoie,JU,3932.8743545611014
Haute-Sorne,JU,4362.370466321244
Hautemorges,VD,9281.658849666748
Hauterive,FR,0.0
Hauteville,FR,6163.1578947368425
Hedingen,ZH,0.0
Hergiswil,NW,13868.852459016394
Hermance,GE,10074.953617810761
Herrliberg,ZH,16847.82608695652
Herznach-Ueken,AG,6849.056603773585
Hettlingen,ZH,0.0
Hinwil,ZH,0.0
Hittnau,ZH,0.0
Hitzkirch,LU,0.0
Hochfelden,ZH,8861.801242236024
Hofstetten-Flüh,SO,0.0
Holderbank,AG,0.0
Holziken,AG,0.0
Horgen,ZH,0.0
Hunzenschwil,AG,0.0
Hägendorf,SO,0.0
Hägglingen,AG,0.0
Hérémence,VS,8865.993399339934
Hölstein,BL,6130.111524163569
Hünenberg,ZG,0.0
Hüntwangen,ZH,0.0
Ilanz/Glion,GR,0.0
Innerthal,SZ,0.0
Interlaken,BE,0.0
Iseltwald,BE,0.0
Islisberg,AG,0.0
Isérables,VS,7625.744083051574
Jaun,FR,0.0
Jegenstorf,BE,0.0
Jonen,AG,0.0
Jongny,VD,10807.761111875601
Jorat-Menthue,VD,6785.025524673852
Jorat-Mézières,VD,5913.357400722021
Jouxtens-Mézery,VD,12340.225563909775
Juriens,VD,0.0
Jussy,GE,10846.617837139163
Kaisten,AG,0.0
Kallnach,BE,0.0
Kaltbrunn,SG,0.0
Kandersteg,BE,0.0
Kehrsatz,BE,0.0
Kemmental,TG,0.0
Kerns,OW,0.0
Kienberg,SO,0.0
Killwangen,AG,0.0
Kirchberg,BE,0.0
Kirchberg,SG,0.0
Kirchdorf,BE,0.0
Klosters,GR,15261.41826923077
Kloten,ZH,0.0
Knonau,ZH,0.0
Konolfingen,BE,0.0
Koppigen,BE,6239.024390243902
Kradolf-Schönenberg,TG,0.0
Krauchthal,BE,0.0
Kriens,LU,0.0
Kölliken,AG,0.0
Köniz,BE,0.0
Künten,AG,0.0
Küsnacht,ZH,0.0
Küssnacht,SZ,15090.137857900318
Küttigen,AG,8706.793802145412
L'Abbaye,VD,7077.175697865353
L'Abergement,VD,0.0
L'Isle,VD,6145.584725536993
La Baroche,JU,2670.278637770898
La Brillaz,FR,5473.91623806025
La Chaux (Cossonay),VD,0.0
La Chaux-de-Fonds,NE,3964.4570963806427
La Chaux-du-Milieu,NE,5374.918200408998
La Grande Béroche,NE,7811.8895303479485
La Rippe,VD,8825.847123719464
La Roche,FR,5392.042129900527
La Sarraz,VD,5666.9439822518025
La Sonnaz,FR,0.0
La Tour-de-Peilz,VD,12242.712671029149
La Tène,NE,7748.387096774193
La Verrerie,FR,0.0
Laax,GR,0.0
Laconnex,GE,9429.232804232804
Lamone,TI,6285.046728971963
Lampenberg,BL,0.0
Lancy,GE,11948.168007149241
Landquart,GR,5756.729810568295
Langenthal,BE,4000.0
Laufen,BL,3890.625
Laufenburg,AG,6548.707753479125
Lauperswil,BE,9662.313432835821
Lausanne,VD,8544.06491790904
Lauterbrunnen,BE,12638.888888888889
Lauwil,BL,0.0
Lavey-Morcles,VD,0.0
Lavigny,VD,7757.5039494470775
Lavizzara,TI,0.0
Lax,VS,0.0
Le Chenit,VD,4746.540668241647
Le Flon,FR,6131.774707757704
Le Grand-Saconnex,GE,13077.57644394111
Le Landeron,NE,4889.84375
Le Lieu,VD,5711.764705882353
Le Locle,NE,2925.6856041318106
Le Mont-sur-Lausanne,VD,8122.905963815055
Le Mouret,FR,7017.045454545455
Le Noirmont,JU,5639.53488372093
Le Pâquier (FR),FR,6917.549325025961
Le Vaud,VD,10302.806499261447
Leissigen,BE,0.0
Lengnau,AG,0.0
Lengnau,BE,0.0
Lengwil,TG,0.0
Lens,VS,9679.886863607793
Lenzburg,AG,8795.366795366795
Les Genevez (JU),JU,3464.065708418891
Les Montets,FR,6187.898089171975
Leuggern,AG,6900.0
Leuk,VS,4088.4820747520976
Leukerbad,VS,246.3539162488266
Leysin,VD,6172.604558530648
Leytron,VS,5896.8854786512165
Liddes,VS,2285.607476635514
Liesberg,BL,0.0
Liestal,BL,8532.679738562092
Lignerolle,VD,5580.495356037151
Lindau,ZH,0.0
Locarno,TI,9322.74856845393
Lommis,TG,0.0
Lonay,VD,0.0
Longirod,VD,0.0
Losone,TI,7014.492753623188
Lotzwil,BE,0.0
Lucens,VD,6290.141442715701
Lugano,TI,5996.1156668105305
Luins,VD,0.0
Lully,FR,0.0
Lully,VD,0.0
Lumino,TI,5642.270861833105
Lungern,OW,0.0
Lupfig,AG,0.0
Lupsingen,BL,0.0
Lussy-sur-Morges,VD,0.0
Luterbach,SO,0.0
Lutry,VD,13312.554872695348
Luzein,GR,0.0
Luzern,LU,8068.844807467911
Lyss,BE,0.0
Läufelfingen,BL,0.0
Lütisburg,SG,0.0
Madulain,GR,0.0
Magden,AG,0.0
Maggia,TI,0.0
Maienfeld,GR,6496.710526315789
Malters,LU,0.0
Manno,TI,0.0
Marly,FR,6990.953545232273
Marsens,FR,0.0
Martigny,VS,5059.210526315789
Martigny-Combe,VS,5412.376237623763
Massagno,TI,12377.978082191781
Massongex,VS,5469.618673769803
Massonnens,FR,4916.666666666667
Matran,FR,7871.521092245755
Matzendorf,SO,0.0
Mauensee,LU,0.0
Maur,ZH,9004.73933649289
Meggen,LU,16670.909090909092
Meilen,ZH,0.0
Meinier,GE,12722.027094831912
Meiringen,BE,0.0
Meisterschwanden,AG,0.0
Mellingen,AG,0.0
Mendrisio,TI,5035.434067324728
Menziken,AG,6235.555555555556
Menznau,LU,0.0
Mesocco,GR,0.0
Mettauertal,AG,0.0
Mettmenstetten,ZH,10222.857142857143
Meyrin,GE,11129.508196721312
Mezzovico-Vira,TI,0.0
Mies,VD,23372.582001682087
Miglieglia,TI,0.0
Milvignes,NE,8251.956181533646
Minusio,TI,7294.507575757576
Misery-Courtion,FR,0.0
Missy,VD,4199.584199584199
Mollens,VD,0.0
Mont-Noble,VS,5453.5328924469195
Mont-Vully,FR,0.0
Mont-la-Ville,VD,0.0
Mont-sur-Rolle,VD,11824.213700990953
Montagny,FR,6817.01030927835
Montagny-près-Yverdon,VD,0.0
Montanaire,VD,7333.127126507888
Monteceneri,TI,0.0
Montet (Glâne),FR,8752.783964365257
Montfaucon,JU,0.0
Monthey,VS,6364.121510673235
Montilliez,VD,0.0
Montpreveyres,VD,0.0
Montreux,VD,13333.219074655713
Montricher,VD,0.0
Moosleerau,AG,0.0
Morbio Inferiore,TI,5426.731078904992
Morcote,TI,0.0
Morges,VD,11094.004255851796
Morlon,FR,0.0
Morrens,VD,8571.42857142857
Morschach,SZ,0.0
Mosnang,SG,0.0
Moudon,VD,5308.631142310147
Movelier,JU,2345.201238390093
Muhen,AG,0.0
Mumpf,AG,0.0
Muntelier,FR,0.0
Muralto,TI,10130.608695652174
Murgenthal,AG,5613.810741687979
Muri bei Bern,BE,15186.915887850468
Muriaux,JU,0.0
Murten,FR,0.0
Mutrux,VD,0.0
Muttenz,BL,9960.85409252669
Männedorf,ZH,0.0
Mörel-Filet,VS,0.0
Mörigen,BE,0.0
Möriken-Wildegg,AG,6400.966183574879
Mühlau,AG,0.0
Mühleberg,BE,7988.069414316703
Mülligen,AG,0.0
Mümliswil-Ramiswil,SO,0.0
Münchenbuchsee,BE,6808.510638297872
Münchenstein,BL,8745.791245791246
Münchwilen,TG,0.0
Münsingen,BE,0.0
Münsterlingen,TG,0.0
Naters,VS,0.0
Neckertal,SG,0.0
Neerach,ZH,0.0
Neftenbach,ZH,0.0
Neggio,TI,7211.826347305389
Nendaz,VS,4324.52376866312
Nesslau,SG,0.0
Neuchâtel,NE,7432.756994655769
Neuendorf,SO,0.0
Neuenegg,BE,0.0
Neuenhof,AG,0.0
Neuenkirch,LU,0.0
Neyruz,FR,6125.954198473282
Niederglatt,ZH,8695.652173913044
Niedergösgen,SO,0.0
Niederlenz,AG,8434.292866082604
Niederrohrdorf,AG,0.0
Niederönz,BE,0.0
Noble-Contrée,VS,5151.283530429766
Novaggio,TI,0.0
Novazzano,TI,0.0
Noville,VD,7047.120418848168
Nusshof,BL,0.0
Nürensdorf,ZH,0.0
Oberbüren,SG,0.0
Oberdorf,BL,5966.1016949152545
Oberegg,AI,0.0
Oberems,VS,0.0
Oberhof,AG,0.0
Oberhofen am Thunersee,BE,0.0
Oberkulm,AG,0.0
Oberriet,SG,0.0
Oberrohrdorf,AG,0.0
Oberrüti,AG,0.0
Obersaxen Mundaun,GR,0.0
Obersiggenthal,AG,0.0
Oberuzwil,SG,0.0
Oberweningen,ZH,0.0
Oberwil,BL,0.0
Oberägeri,ZG,0.0
Obfelden,ZH,8640.399556048835
Oensingen,SO,0.0
Oeschgen,AG,0.0
Oetwil am See,ZH,0.0
Oetwil an der Limmat,ZH,0.0
Oftringen,AG,0.0
Ollon,VD,9786.900737833024
Onex,GE,13691.770186335403
Onnens,VD,0.0
Onsernone,TI,0.0
Opfikon,ZH,0.0
Orbe,VD,7487.804878048781
Orges,VD,0.0
Ormalingen,BL,7557.251908396946
Ormont-Dessous,VD,5317.784256559767
Ormont-Dessus,VD,7563.5103926097
Orny,VD,8275.109170305677
Oron,VD,6525.327722932513
Orselina,TI,10196.353436185133
Orsières,VS,4554.055555555556
Orvin,BE,5260.115606936416
Ostermundigen,BE,0.0
Otelfingen,ZH,0.0
Othmarsingen,AG,0.0
Oulens-sous-Echallens,VD,6069.767441860465
Pailly,VD,0.0
Paradiso,TI,10269.184652278178
Paudex,VD,13264.812575574366
Payerne,VD,5647.137986721694
Penthalaz,VD,9589.74358974359
Penthaz,VD,7740.447957839262
Penthéréaz,VD,0.0
Perly-Certoux,GE,10010.853835021708
Perroy,VD,0.0
Personico,TI,0.0
Petit-Val,BE,0.0
Pfeffingen,BL,7559.726962457338
Pfungen,ZH,0.0
Pfäfers,SG,0.0
Pfäffikon,ZH,9168.474331164136
Pieterlen,BE,0.0
Plaffeien,FR,5244.107744107744
Plan-les-Ouates,GE,12431.76405935153
Plasselb,FR,0.0
Plateau de Diesse,BE,0.0
Pleigne,JU,0.0
Poliez-Pittet,VD,7183.544303797468
Pompaples,VD,0.0
Pomy,VD,7690.836653386455
Pont-en-Ogoz,FR,7109.5571095571095
Pont-la-Ville,FR,6596.2036238136325
Ponte Capriasca,TI,0.0
Porrentruy,JU,3863.7311099531007
Port,BE,0.0
Port-Valais,VS,5919.928825622776
Porza,TI,0.0
Prangins,VD,13903.237540923972
Pratteln,BL,7589.920948616601
Pregny-Chambésy,GE,16880.34188034188
Premier,VD,4351.585014409222
Prez,FR,6215.203426124197
Provence,VD,0.0
Préverenges,VD,18830.306825297434
Prévondavaux,FR,0.0
Pully,VD,14575.662894781288
Puplinge,GE,9090.90909090909
Pura,TI,6801.439712057589
Péry-La Heutte,BE,4906.159769008662
Quarten,SG,0.0
Quinto,TI,2485.9504132231405
Radelfingen,BE,0.0
Rances,VD,0.0
Rapperswil,BE,0.0
Rapperswil-Jona,SG,9345.911949685535
Raron,VS,0.0
Rebstein,SG,5100.0
Rechthalten,FR,4938.271604938272
Reconvilier,BE,0.0
Regensdorf,ZH,0.0
Reichenburg,SZ,9614.689265536723
Reinach,AG,0.0
Reinach,BL,0.0
Remaufens,FR,6757.92276964048
Renens,VD,11679.132189707367
Rennaz,VD,6759.061833688699
Rheinfelden,AG,9165.983606557376
Riaz,FR,6590.487955528104
Richterswil,ZH,0.0
Riddes,VS,6662.634180527004
Ried bei Kerzers,FR,5773.4056987788335
Ried-Brig,VS,4872.18045112782
Riederalp,VS,0.0
Riedholz,SO,0.0
Riehen,BS,0.0
Riva San Vitale,TI,6369.062901155327
Rivaz,VD,0.0
Riviera,TI,3570.3493862134087
Roche,VD,6338.071968014216
Rochefort,NE,0.0
Roches,BE,0.0
Roggwil,TG,0.0
Rohrbach,BE,0.0
Rolle,VD,15485.513435385323
Romanel-sur-Lausanne,VD,8559.01287553648
Ronco sopra Ascona,TI,17117.647058823528
Ropraz,VD,8549.16067146283
Rorbas,ZH,8966.748768472906
Rorschach,SG,0.0
Rossemaison,JU,0.0
Rossinière,VD,0.0
Rottenschwil,AG,7339.285714285715
Rougemont,VD,23154.929577464787
Roveredo,GR,7200.0
Rudolfstetten-Friedlisberg,AG,8607.954545454546
Rue,FR,5067.873303167421
Rupperswil,AG,0.0
Ruswil,LU,0.0
Rüdlingen,SH,0.0
Rüeggisberg,BE,4135.514018691589
Rüfenach,AG,0.0
Rünenberg,BL,0.0
Rüthi,SG,5074.786324786325
Rüti bei Büren,BE,0.0
Rüttenen,SO,0.0
Saanen,BE,21285.466848567532
Saas-Almagell,VS,0.0
Saas-Balen,VS,0.0
Saas-Fee,VS,11382.799325463744
Saas-Grund,VS,0.0
Sachseln,OW,7528.301886792453
Safenwil,AG,0.0
Sagogn,GR,0.0
Saicourt,BE,3594.9644225506295
Saignelégier,JU,5348.648648648648
Saillon,VS,5649.260628465804
Saint-Aubin,FR,6493.963782696177
Saint-Barthélemy,VD,6926.829268292683
Saint-Blaise,NE,7239.263803680981
Saint-Cergue,VD,8035.85726718886
Saint-George,VD,7641.780330222541
Saint-Gingolph,VS,9181.276798475465
Saint-Imier,BE,3461.689587426326
