ville,canton,prix_metre_carre_moyen
Neuchâtel,NE,18.366234756097562
Neuenhof,AG,18.160997732426303
Neuheim,ZG,69.2818671454219
Neunkirch,SH,0.0
Neyruz,FR,16.85373134328358
Niederbipp,BE,12.768826619964974
Niederglatt,ZH,0.0
Niedergösgen,SO,0.0
Niederhasli,ZH,0.0
Niederhelfenschwil,SG,0.0
Niederrohrdorf,AG,0.0
Noble-Contrée,VS,15.591867469879517
Nunningen,SO,0.0
Nürensdorf,ZH,0.0
Oberbipp,BE,0.0
Oberbuchsiten,SO,0.0
Oberbüren,SG,0.0
Oberdorf,BL,0.0
Oberdorf,SO,0.0
Oberengstringen,ZH,0.0
Oberentfelden,AG,15.560661764705882
Obergerlafingen,SO,13.507972665148063
Oberglatt,ZH,33.86533665835412
Obergösgen,SO,0.0
Oberhofen am Thunersee,BE,0.0
Oberkirch,LU,19.5046439628483
Oberkulm,AG,19.7751677852349
Oberried am Brienzersee,BE,0.0
Oberriet,SG,0.0
Oberrohrdorf,AG,16.872463768115942
Obersiggenthal,AG,19.41588785046729
Oberthal,BE,0.0
Oberwil,BL,19.759090909090908
Oberägeri,ZG,0.0
Obfelden,ZH,23.01923076923077
Oensingen,SO,16.29822732012513
Oetwil am See,ZH,0.0
Oftringen,AG,0.0
Ollon,VD,20.444655762647393
Oltingen,BL,0.0
Onex,GE,28.50767754318618
Opfikon,ZH,85.72264150943396
Oppligen,BE,0.0
Orbe,VD,18.262376237623762
Ormalingen,BL,16.964285714285715
Ormont-Dessous,VD,0.0
Ormont-Dessus,VD,20.99056603773585
Oron,VD,20.021459227467812
Orpund,BE,0.0
Orsières,VS,0.0
Orzens,VD,0.0
Ossingen,ZH,0.0
Ostermundigen,BE,19.6531393568147
Otelfingen,ZH,0.0
Paradiso,TI,55.82057654075547
Paudex,VD,0.0
Payerne,VD,16.62219878723965
Penthalaz,VD,0.0
Penthaz,VD,0.0
Perroy,VD,0.0
Pfeffingen,BL,19.188388625592417
Pfungen,ZH,0.0
Pfäffikon,ZH,21.391502276176023
Pieterlen,BE,17.59530791788856
Plaffeien,FR,14.644444444444444
Plan-les-Ouates,GE,30.71753846153846
Pleigne,JU,0.0
Pont-en-Ogoz,FR,0.0
Porrentruy,JU,11.508639308855292
Port,BE,14.848787446504993
Port-Valais,VS,16.476377952755904
Porza,TI,0.0
Prangins,VD,32.295684803001876
Pratteln,BL,17.532864820173625
Pregny-Chambésy,GE,35.93586291309669
Prez,FR,0.0
Préverenges,VD,0.0
Prévondavaux,FR,0.0
Prévonloup,VD,0.0
Pully,VD,28.065416387586517
Puplinge,GE,0.0
Ramlinsburg,BL,0.0
Rapperswil-Jona,SG,18.5
Rebstein,SG,0.0
Reconvilier,BE,11.621621621621621
Regensdorf,ZH,51.31506849315068
Reichenbach im Kandertal,BE,0.0
Reiden,LU,13.830339321357286
Reinach,AG,0.0
Reinach,BL,0.0
Reitnau,AG,0.0
Remaufens,FR,20.196706312900275
Renens,VD,24.257583965330443
Rennaz,VD,0.0
Reute,AR,0.0
Rheinau,ZH,0.0
Rheinfelden,AG,17.13244766505636
Riaz,FR,0.0
Richterswil,ZH,0.0
Rickenbach,LU,0.0
Riddes,VS,22.633451957295375
Riehen,BS,19.300291545189506
Riggisberg,BE,0.0
Roche,VD,0.0
Roches,BE,15.495750708215297
Roggliswil,LU,0.0
Roggwil,TG,13.647686832740213
Rohrbach,BE,0.0
Rolle,VD,21.597918637653738
Romanel-sur-Lausanne,VD,25.555555555555557
Rorbas,ZH,0.0
Rorschach,SG,18.795986622073578
Rorschacherberg,SG,0.0
Rossemaison,JU,0.0
Rothenfluh,BL,0.0
Rupperswil,AG,0.0
Ruswil,LU,0.0
Römerswil,LU,0.0
Röschenz,BL,17.084745762711865
Röthenbach im Emmental,BE,0.0
Rüderswil,BE,0.0
Rüdtligen-Alchenflüh,BE,16.834862385321102
Rüegsau,BE,0.0
Rüfenach,AG,17.75812743823147
Rüschegg,BE,14.352941176470589
Rüttenen,SO,19.915407854984895
Sachseln,OW,0.0
Safenwil,AG,0.0
Saicourt,BE,9.953198127925116
Saignelégier,JU,12.487551867219917
Saint-Aubin,FR,0.0
Saint-Blaise,NE,16.832976445396145
Saint-Cergue,VD,21.53909805544063
Saint-George,VD,0.0
