web-scraper-order,web-scraper-start-url,price_text,metres_carres,ville_adresse,type_pieces
"1699261259-1296","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-325?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 3'430.-/mois (+ 420.- Charges)","114 m2","Petit-Lancy, Onex","Appartement 6 pièces"
"1699261259-1297","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-325?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'625.-/mois (+ 270.- Charges)","96 m2","Domdidier, Route du Pra-Riond 17","Appartement 4.5 pièces"
"1699261259-1298","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-325?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'300.-/mois (+ 180.- Charges)","71 m2","Orbe, Rue de la Poste 3","Mansarde 3.5 pièces"
"1699261259-1299","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-325?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'440.-/mois (+ 190.- Charges)","86 m2","Martigny, Rue du Simplon 33","Appartement 3.5 pièces"
"1699261259-1300","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-325?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'670.-/mois (+ 165.- Charges)","57 m2","Lausanne, Rte du Pavement 79B","Appartement 2.5 pièces"
"1699261259-1301","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-325?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 2'000.-/mois (+ 150.- Charges)","77 m2","Echandens, Route des Toches 8","Appartement 2.5 pièces"
"1699261259-1302","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-325?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 2'850.-/mois (+ 200.- Charges)","100 m2","St-Légier-La Chiésaz, Route des Deux-Villages 5","Appartement 3.5 pièces"
"1699261259-1303","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-325?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'980.-/mois (+ 210.- Charges)","72 m2","Lausanne, Rte du Pavement 79B","Appartement 3.5 pièces"
"1699261259-1304","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-325?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'300.-/mois (+ 300.- Charges)","90 m2","Delémont, Place de la Gare 20","Appartement 3.5 pièces"
"1699261259-1305","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-325?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 2'700.-/mois (+ 450.- Charges)","163 m2","9008 St. Gallen, Contactez l'agence pour l'adresse","Appartement 6 pièces"
"1699261259-1306","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-325?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'420.-/mois (+ 140.- Charges)","64 m2","Wängi, Brühlwiesenstrasse 5b","Appartement 2.5 pièces"
"1699261259-1307","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-325?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 5'400.-/mois","180 m2","1295 Mies, Contactez l'agence pour l'adresse","Maison 6.5 pièces"
"1699261259-1308","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-325?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 4'500.-/mois","104 m2","1203 Genève, Contactez l'agence pour l'adresse","Appartement meublé 4 pièces"
"1699261259-1309","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-325?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 2'920.-/mois","","Cossonay-Ville, Chemin du Stand 12","Appartement 4.5 pièces"
"1699261259-1310","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-325?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'880.-/mois (+ 110.- Charges)","","Tannay, Chemin des Couleuvres 4","Appartement 2 pièces"
"1699261259-1311","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-325?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'650.-/mois (+ 440.- Charges)","99 m2","Montreux, Avenue de Belmont 44","Appartement 3.5 pièces"
"1699261259-1312","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-325?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 850.-/mois (+ 260.- Charges)","79 m2","Arbon, Gartenstrasse 4","Appartement 4.5 pièces"
"1699261259-1313","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-325?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 2'270.-/mois (+ 210.- Charges)","95 m2","Lausanne, Avenue de Sévelin 4B","Appartement 4 pièces"
"1699261259-1314","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-325?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'200.-/mois (+ 150.- Charges)","63 m2","Huttwil, Bahnhofstrasse 43","Appartement 2.5 pièces"
"1699261259-1315","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-325?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 3'988.-/mois","","Genève, Avenue Krieg 28 - 30 - 32 - 34","Appartement 5.5 pièces"
"1699261259-1316","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-325?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 2'950.-/mois","75 m2","4055 Basel, Contactez l'agence pour l'adresse","Appartement meublé 3.5 pièces"
"1699261259-1317","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-325?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'060.-/mois (+ 160.- Charges)","45 m2","6482 Gurtnellen, Contactez l'agence pour l'adresse","Appartement 2.5 pièces"
"1699261259-1318","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-325?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'100.-/mois (+ 300.- Charges)","78 m2","9044 Wald AR, Contactez l'agence pour l'adresse","Dernier étage 3.5 pièces"
"1699261280-1319","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-324?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'800.-/mois","43 m2","Hüttikon, Stockrütistrasse 6","Appartement 2.5 pièces"
"1699261280-1320","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-324?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'660.-/mois (+ 210.- Charges)","113 m2","Le Locle, Rue Bournot 33","Appartement 4.5 pièces"
"1699261280-1321","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-324?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 2'500.-/mois (+ 195.- Charges)","87 m2","Meyrin, Av. F. Besson","Appartement 4 pièces"
"1699261280-1322","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-324?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'040.-/mois (+ 250.- Charges)","60 m2","Oensingen, Lehnrüttiweg 7","Appartement 2.5 pièces"
"1699261280-1323","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-324?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","Loyer sur demande","209 m2","1304 Senarclens, Contactez l'agence pour l'adresse","Villa 8 pièces"
"1699261280-1324","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-324?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 2'300.-/mois (+ 320.- Charges)","101 m2","Ollon VD, Rue de la tour 69 E","Appartement 4.5 pièces"
"1699261280-1325","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-324?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'445.-/mois (+ 200.- Charges)","57 m2","Münchenstein, Reinacherstrasse 20","Appartement 2.5 pièces"
"1699261280-1326","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-324?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'990.-/mois (+ 350.- Charges)","93 m2","Neyruz FR, Promenade de Brenleire 11","Attique 3.5 pièces"
"1699261280-1327","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-324?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 3'600.-/mois","","Gryon, Saison hiver / Winter season","Chalet"
"1699261280-1328","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-324?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 750.-/mois (+ 50.- Charges)","","La Chaux-de-Fonds, Stand 10","Appartement 2 pièces"
"1699261280-1329","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-324?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","Loyer sur demande","112 m2","Fribourg, Route de Beaumont 1","Appartement 4.5 pièces"
"1699261280-1330","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-324?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'700.-/mois (+ 160.- Charges)","45 m2","Les Acacias, Rue du Grand-Bureau 20","Appartement 2.5 pièces"
"1699261280-1331","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-324?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 8'500.-/mois","241 m2","Chêne-Bougeries, Chemin de la Bessonnette 7","Duplex 6 pièces"
"1699261280-1332","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-324?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'485.-/mois (+ 250.- Charges)","68 m2","Winterthur, Neuwiesenstr. 18","Appartement 3 pièces"
"1699261280-1333","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-324?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'750.-/mois (+ 250.- Charges)","85 m2","Monthey, Rue du Coppet 13","Appartement 3.5 pièces"
"1699261280-1334","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-324?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'680.-/mois (+ 200.- Charges)","55 m2","1110 Morges, Contactez l'agence pour l'adresse","Appartement 2.5 pièces"
"1699261280-1335","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-324?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 920.-/mois (+ 180.- Charges)","","Boudry, Faubourg Philippe-Suchard 24","Appartement 3 pièces"
"1699261280-1336","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-324?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'007.-/mois (+ 160.- Charges)","44 m2","Riedikon, Blindenholzstrasse 73","Appartement 1.5 pièces"
"1699261280-1337","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-324?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'084.-/mois (+ 200.- Charges)","","Moudon, Chemin du Château-sec 37","Appartement 3 pièces"
"1699261280-1338","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-324?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 2'300.-/mois (+ 200.- Charges)","91 m2","Genève, Rue de la Servette 29","Appartement 4.5 pièces"
"1699261280-1339","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-324?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'180.-/mois (+ 100.- Charges)","47 m2","Villars-sur-Glâne, Route de Villars-Vert 34","Appartement 2.5 pièces"
"1699261280-1340","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-324?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","Loyer sur demande","30 m2","Lausanne, Grand-St-Jean 2","Appartement 2 pièces"
"1699261280-1341","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-324?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 5'500.-/mois","","Pully, Ch. du Château-Sec 25","Appartement 4.5 pièces"
"1699261301-1342","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-323?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'150.-/mois","35 m2","1820 Montreux, Contactez l'agence pour l'adresse","Appartement 2 pièces"
"1699261301-1343","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-323?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 2'075.-/mois (+ 315.- Charges)","94 m2","Echallens, Chemin du Grand-Record","Appartement 4.5 pièces"
"1699261301-1344","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-323?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 2'800.-/mois","180 m2","Fribourg, Rue de l'Abbé-Bovet 7","Appartement 5.5 pièces"
"1699261301-1345","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-323?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 857.-/mois (+ 280.- Charges)","","La Chaux-de-Fonds, Rue du Doubs 75-77","Appartement 4 pièces"
"1699261301-1346","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-323?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 2'700.-/mois (+ 250.- Charges)","116 m2","8623 Wetzikon ZH, Contactez l'agence pour l'adresse","Duplex 4.5 pièces"
"1699261301-1347","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-323?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'800.-/mois (+ 100.- Charges)","120 m2","8215 Hallau, Contactez l'agence pour l'adresse","Appartement 3.5 pièces"
"1699261301-1348","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-323?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'630.-/mois (+ 280.- Charges)","92 m2","Delémont, Route de Bâle 12-14-16","Appartement 3.5 pièces"
"1699261301-1349","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-323?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'500.-/mois (+ 320.- Charges)","108 m2","Delémont, Route de Bâle 12-14-16","Appartement 4.5 pièces"
"1699261301-1350","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-323?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'500.-/mois (+ 320.- Charges)","108 m2","Delémont, Route de Bâle 12-14-16","Appartement 4.5 pièces"
"1699261301-1351","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-323?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'500.-/mois (+ 320.- Charges)","108 m2","Delémont, Route de Bâle 12-14-16","Appartement 4.5 pièces"
"1699261301-1352","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-323?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 720.-/mois (+ 200.- Charges)","","La Chaux-de-Fonds, Progrès 131","Appartement 3.5 pièces"
"1699261301-1353","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-323?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'620.-/mois (+ 320.- Charges)","70 m2","Lausanne, Chemin des Lys 13","Appartement 3 pièces"
"1699261301-1354","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-323?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 846.-/mois (+ 111.- Charges)","38 m2","Sion, Avenue de Tourbillon 4 B","Appartement 1 pièce"
"1699261301-1355","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-323?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'700.-/mois (+ 300.- Charges)","113 m2","Kölliken, Schönenwerderstrasse 61","Appartement 5.5 pièces"
"1699261301-1356","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-323?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 2'800.-/mois (+ 270.- Charges)","","Tatroz, Rte du Village 20","Appartement 5.5 pièces"
"1699261301-1357","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-323?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 3'000.-/mois (+ 290.- Charges)","92 m2","Genève, Avenue Théodore-Weber 34","Appartement 3.5 pièces"
"1699261301-1358","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-323?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'010.-/mois","27 m2","Clarens, Avenue du Châtelard 1","Studio 1.5 pièces"
"1699261301-1359","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-323?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'050.-/mois (+ 270.- Charges)","56 m2","Morges, Avenue de Lonay 5","Appartement 2.5 pièces"
"1699261301-1360","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-323?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'100.-/mois (+ 295.- Charges)","58 m2","Villars-sur-Glâne, Route de Villars-Vert 33","Appartement 3.5 pièces"
"1699261301-1361","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-323?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'640.-/mois (+ 200.- Charges)","118 m2","Yvorne, le Boulevard 1","Duplex 3.5 pièces"
"1699261301-1362","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-323?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 2'000.-/mois (+ 300.- Charges)","204 m2","6808 Torricella, Contactez l'agence pour l'adresse","Attique 4 pièces"
"1699261301-1363","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-323?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'690.-/mois (+ 200.- Charges)","125 m2","3428 Wiler b. Utzenstorf, Contactez l'agence pour l'adresse","Dernier étage 3.5 pièces"
"1699261301-1364","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-323?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 2'263.-/mois","127 m2","1462 Yvonand, Contactez l'agence pour l'adresse","Appartement 4.5 pièces"
"1699261322-1365","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-322?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'300.-/mois (+ 250.- Charges)","85 m2","9030 Abtwil SG, Contactez l'agence pour l'adresse","Appartement 4.5 pièces"
"1699261322-1366","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-322?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'300.-/mois (+ 100.- Charges)","60 m2","6517 Arbedo, Contactez l'agence pour l'adresse","Appartement 2.5 pièces"
