ville,canton,prix,metres_carres,type,nbr_pieces
Develier,JU,660,22,Appartement ,1.0
Avenches,VD,1370,153,Appartement ,5.5
Tafers,FR,1410,79,Appartement ,3.0
Chêne-Bougeries,GE,2090,59,Appartement ,3.5
Suhr,AG,1225,76,Appartement ,3.5
Zürich,ZH,2390,18,Appartement,
Zürich,ZH,3390,32,Appartement ,2.0
Zürich,ZH,4180,49,Appartement ,2.0
Zürich,ZH,1890,22,Appartement,
Zürich,ZH,4090,36,Appartement,
Noble-Contrée,VS,1240,76,Appartement ,3.5
Neuchâtel,NE,1830,88,Appartement ,3.5
Münchenstein,BL,1247,68,Appartement ,3.0
Langenthal,BE,1315,109,Appartement ,3.5
Thun,BE,990,51,Appartement ,2.5
Saint-Sulpice,VD,1180,41,Appartement ,2.0
Zufikon,AG,1310,68,Appartement ,3.5
Tägerwilen,TG,1633,80,Appartement ,3.5
Thunstetten,BE,800,56,Appartement ,3.0
Crans-Montana,VS,2070,120,Appartement ,3.5
Münchenstein,BL,1440,75,Appartement ,3.0
Avenches,VD,1240,120,Loft,
Prangins,VD,1690,57,Appartement ,2.5
Montreux,VD,1500,58,Appartement ,2.5
Wohlen,AG,1605,104,Appartement ,3.5
Tafers,FR,1150,48,Appartement ,2.0
La Chaux-de-Fonds,NE,900,71,Appartement ,3.5
Münchenstein,BL,2250,130,Appartement ,5.0
Luzern,LU,1153,61,Appartement ,3.0
Massagno,TI,1310,68,Appartement ,3.0
Düdingen,FR,1860,106,Appartement ,4.5
Neuenhof,AG,1623,99,Appartement ,4.0
Baden,AG,1230,56,Appartement ,2.5
La Chaux-de-Fonds,NE,816,57,Appartement ,2.0
Tenero-Contra,TI,1600,113,Appartement ,4.5
Zuchwil,SO,960,63,Appartement ,3.0
Saint-Sulpice,VD,1743,64,Dernier étage ,2.0
La Tour-de-Peilz,VD,1650,79,Appartement ,3.0
Vevey,VD,710,31,Appartement ,1.0
Vernayaz,VS,580,24,Studio ,1.0
Les Montets,FR,1680,86,Appartement ,3.5
Küttigen,AG,1492,112,Appartement ,3.5
Laconnex,GE,1937,60,Appartement ,3.5
Twann-Tüscherz,BE,950,49,Appartement ,2.0
Sion,VS,1490,95,Appartement ,3.5
Neuchâtel,NE,2190,93,Appartement ,4.5
Urdorf,ZH,1230,65,Appartement ,3.0
Vallorbe,VD,1020,77,Appartement ,3.0
Vernier,GE,2600,66,Appartement ,4.0
Chêne-Bougeries,GE,1490,44,Appartement ,2.5
Crans-Montana,VS,3150,127,Appartement ,4.0
Vernier,GE,2300,61,Appartement ,3.0
Chêne-Bougeries,GE,13000,313,Appartement ,8.0
Gossau,SG,1950,122,Appartement ,5.5
Bellinzona,TI,1530,108,Appartement ,4.5
Le Mont-sur-Lausanne,VD,1590,69,Appartement ,2.5
Conthey,VS,12000,610,Maison ,10.0
Morges,VD,1750,80,Appartement ,3.5
Vernier,GE,3200,60,Appartement meublé ,2.0
Prangins,VD,2838,89,Appartement ,4.5
Frauenkappelen,BE,2555,108,Appartement ,4.5
Stallikon,ZH,901,47,Appartement ,1.5
Ittigen,BE,1300,79,Appartement ,3.5
Muttenz,BL,1645,75,Appartement ,3.5
Massagno,TI,1360,69,Appartement ,2.5
Meggen,LU,2324,122,Appartement ,4.5
Renens,VD,1260,57,Appartement ,2.5
Crans-Montana,VS,1150,60,Appartement ,2.0
Reinach,BL,2100,110,Dernier étage ,3.5
Vernayaz,VS,1220,69,Appartement ,3.0
Münchwilen,TG,1250,84,Appartement ,3.5
Tafers,FR,1140,76,Appartement ,3.5
Crans-Montana,VS,900,35,Appartement ,1.5
Pully,VD,1400,56,Appartement ,2.0
Düdingen,FR,1708,110,Appartement ,4.5
Courtepin,FR,1270,76,Appartement ,3.5
Courroux,JU,900,65,Appartement ,3.5
Tafers,FR,2000,125,Appartement ,4.0
Prangins,VD,2950,67,Appartement meublé ,2.5
Tafers,FR,1640,87,Appartement ,3.5
Prangins,VD,2838,89,Appartement ,4.5
Lonay,VD,1600,60,Appartement ,2.5
Gibloux,FR,1250,86,Appartement ,3.5
Gossau,SG,1150,75,Appartement ,4.0
Tresa,TI,670,33,Appartement ,1.5
Mendrisio,TI,650,15,Appartement ,1.5
La Tène,NE,1855,142,Appartement ,5.5
Vernier,GE,3000,70,Appartement ,3.0
Lucens,VD,1550,80,Appartement ,3.5
Melide,TI,1540,115,Appartement ,4.5
Pully,VD,3300,85,Appartement ,3.5
Vernier,GE,18000,300,Appartement ,10.0
Ipsach,BE,1170,85,Appartement ,4.0
Saint-Sulpice,VD,3800,95,Appartement meublé ,4.5
Develier,JU,890,45,Appartement ,2.5
Vernier,GE,4500,93,Appartement meublé ,4.0
Vernier,GE,1900,35,Appartement meublé ,1.5
Tafers,FR,810,33,Studio ,1.0
Saint-Sulpice,VD,2290,72,Dernier étage ,3.5
Mendrisio,TI,1090,59,Appartement ,2.5
Sainte-Croix,VD,1590,97,Appartement ,4.5
Tafers,FR,1435,77,Appartement ,2.5
Reinach,BL,2100,110,Dernier étage ,3.5
Vernayaz,VS,1220,69,Appartement ,3.0
Münchwilen,TG,1250,84,Appartement ,3.5
Regensdorf,ZH,2254,38,Appartement meublé ,1.0
Regensdorf,ZH,2565,39,Appartement meublé,
Zürich,ZH,2261,34,Appartement meublé,
Paradiso,TI,2299,65,Appartement meublé ,3.0
Zürich,ZH,3024,66,Appartement meublé ,4.0
Zürich,ZH,2688,37,Appartement meublé ,1.0
Zürich,ZH,3100,42,Appartement meublé ,1.0
Wallisellen,ZH,2803,34,Appartement meublé ,1.0
Zürich,ZH,3900,62,Appartement meublé ,4.0
Münchenstein,BL,2070,34,Appartement meublé ,1.0
Zürich,ZH,2968,39,Appartement meublé ,4.0
Meggen,LU,2016,25,Appartement meublé,
Münchenstein,BL,2322,33,Appartement meublé ,1.0
Saint-Sulpice,VD,1290,48,Appartement ,2.0
Vernier,GE,2800,36,Appartement meublé ,3.0
Tafers,FR,1410,76,Appartement ,4.5
Crans-Montana,VS,1200,70,Appartement ,2.0
Crans-Montana,VS,6100,140,Attique ,5.0
La Chaux-de-Fonds,NE,1500,104,Appartement ,4.5
Kirchberg,BE,1370,74,Appartement ,4.5
La Tène,NE,1780,120,Appartement ,3.5
Münchenstein,BL,1270,56,Appartement ,1.5
Twann-Tüscherz,BE,1250,72,Appartement ,2.0
Kirchberg,BE,1650,96,Appartement ,4.5
Meggen,LU,2016,25,Appartement meublé,
Gambarogno,TI,950,60,Appartement ,2.5
Münchenstein,BL,2600,52,Appartement meublé ,4.0
Vernier,GE,2250,62,Appartement ,3.0
Vernier,GE,1900,55,Appartement ,3.0
Massagno,TI,1752,56,Appartement ,2.5
Münchenstein,BL,3416,45,Appartement meublé ,1.0
Münchenstein,BL,3192,45,Appartement meublé,
Winterthur,ZH,2450,46,Appartement meublé ,4.0
Oberengstringen,ZH,3000,70,Appartement meublé ,4.0
Opfikon,ZH,2700,32,Appartement meublé,
Münchenstein,BL,1250,20,Appartement meublé,
Zürich,ZH,3003,24,Appartement meublé,
Zürich,ZH,1990,16,Appartement meublé ,1.0
Zürich,ZH,3190,30,Appartement meublé ,3.0
Zürich,ZH,2950,40,Appartement meublé ,4.0
Zürich,ZH,2450,25,Appartement meublé ,2.0
Winterthur,ZH,2200,46,Appartement meublé ,1.0
Liestal,BL,1700,89,Appartement ,3.5
Saint-Sulpice,VD,4600,140,Appartement ,5.5
Münchenstein,BL,2464,42,Appartement meublé ,1.0
Milvignes,NE,1950,93,Appartement meublé ,3.5
La Chaux-de-Fonds,NE,900,71,Appartement ,3.5
Riehen,BS,1460,88,Appartement ,4.0
Estavayer,FR,1220,77,Appartement ,4.0
Aarburg,AG,1540,81,Appartement ,3.5
Saint-Imier,BE,1050,105,Appartement ,5.0
Pleigne,JU,1600,142,Appartement ,5.5
Meggen,LU,2464,43,Appartement meublé ,4.0
Zürich,ZH,2968,35,Appartement meublé ,4.0
Yverdon-les-Bains,VD,1850,103,Appartement ,3.0
Liestal,BL,2050,102,Appartement ,4.5
Meggen,LU,2128,31,Appartement meublé ,2.0
Kirchlindach,BE,1170,53,Appartement ,2.0
Blonay - Saint-Légier,VD,4050,150,Maison jumelée ,5.5
Suhr,AG,935,48,Appartement ,1.5
Tafers,FR,1091,64,Appartement ,3.0
Montreux,VD,1200,49,Appartement ,2.0
Mels,SG,1370,86,Appartement ,3.5
Lugano,TI,2599,55,Appartement meublé ,7.0
Tannay,VD,6500,180,Maison contiguë ,5.5
Saignelégier,JU,1800,167,Appartement ,5.5
Weinfelden,TG,1420,109,Appartement ,4.5
Neuchâtel,NE,1739,99,Appartement ,4.5
La Chaux-de-Fonds,NE,1065,76,Appartement ,4.0
Develier,JU,995,53,Appartement ,2.0
Döttingen,AG,1600,81,Appartement ,3.5
Vernayaz,VS,900,27,Appartement ,1.5
La Chaux-de-Fonds,NE,1160,88,Appartement ,4.5
Vernier,GE,1760,43,Appartement ,3.0
Frauenkappelen,BE,2510,113,Appartement ,4.5
Crans-Montana,VS,3500,120,Maison contiguë ,5.5
Fislisbach,AG,1567,61,Appartement ,2.5
Zürich,ZH,2800,26,Appartement meublé ,4.0
Paradiso,TI,3599,100,Appartement meublé ,5.0
Zürich,ZH,2968,40,Appartement meublé ,4.0
Meggen,LU,2464,43,Appartement meublé ,4.0
Riehen,BS,1390,63,Appartement ,3.0
Oetwil am See,ZH,1485,88,Appartement ,3.5
Aarburg,AG,1030,62,Appartement ,2.5
Paradiso,TI,1699,40,Appartement meublé,
Renens,VD,1100,52,Appartement ,2.0
Suhr,AG,1615,73,Appartement ,2.5
Crans-Montana,VS,2200,80,Appartement ,3.5
Port,BE,890,62,Appartement ,3.5
Allschwil,BL,2080,112,Duplex ,4.5
Villars-sur-Glâne,FR,1410,73,Appartement ,4.5
Lugano,TI,1799,26,Appartement meublé,
Kirchberg,BE,1250,77,Appartement ,4.0
Thundorf,TG,900,49,Appartement ,2.5
Belmont-Broye,FR,1500,93,Appartement ,3.5
Gland,VD,2950,149,Appartement ,5.5
Döttingen,AG,3200,60,Appartement meublé ,3.0
Mendrisio,TI,1100,100,Appartement ,3.5
Zürich,ZH,2520,32,Appartement meublé ,1.0
Döttingen,AG,2850,40,Appartement meublé ,1.0
Walenstadt,SG,1997,36,Appartement meublé ,1.0
Bière,VD,4500,289,Maison jumelée ,8.0
