ville,canton,prix,metres_carres,type,nbr_pieces
Muttenz,BL,1470,84,Appartement ,4.0
Saint-Sulpice,VD,1663,64,Appartement ,3.0
Kappel,SO,1520,111,Appartement ,4.5
Münchenstein,BL,1650,95,Appartement ,3.0
Yverdon-les-Bains,VD,1430,100,Appartement ,3.5
Rorschach,SG,1520,93,Appartement ,3.5
Saint-Sulpice,VD,2550,92,Appartement ,4.0
Uttwil,TG,1125,63,Appartement ,2.5
Mellingen,AG,1680,119,Appartement ,3.5
Pieterlen,BE,1140,69,Appartement ,2.5
Münchwilen,TG,1160,79,Appartement ,3.5
Uttwil,TG,1473,83,Appartement ,3.5
Frauenkappelen,BE,1745,94,Dernier étage ,3.5
Vernier,GE,1550,38,Appartement ,2.5
Pully,VD,1800,70,Appartement ,3.5
La Chaux-de-Fonds,NE,930,101,Appartement ,4.5
Langenthal,BE,1430,98,Appartement ,4.5
Horgen,ZH,1510,72,Appartement ,3.5
Villars-sur-Glâne,FR,1310,92,Appartement ,4.5
Vernier,GE,5000,87,Appartement meublé ,4.0
Saint-Sulpice,VD,1150,42,Appartement ,2.0
Pfeffingen,BL,2005,113,Appartement ,4.5
Tägerwilen,TG,1220,77,Appartement ,3.5
Arbon,TG,1100,92,Appartement ,4.5
Waldkirch,SG,1290,102,Appartement ,4.5
Kehrsatz,BE,1500,96,Appartement ,4.5
Frauenkappelen,BE,1790,75,Appartement ,2.5
Twann-Tüscherz,BE,1750,124,Appartement ,4.5
Massongex,VS,1190,53,Appartement ,2.5
Muttenz,BL,1710,87,Appartement ,4.0
Porrentruy,JU,810,75,Appartement ,3.5
Ettingen,BL,1290,70,Attique ,2.5
Dardagny,GE,1900,70,Appartement ,3.5
Gretzenbach,SO,1425,84,Attique ,3.5
Tafers,FR,2180,117,Duplex ,4.5
Frauenkappelen,BE,2650,98,Duplex ,3.5
Ostermundigen,BE,990,56,Appartement ,2.5
Münchwilen,TG,1285,70,Appartement ,2.5
Muttenz,BL,1650,55,Appartement ,2.0
Frauenkappelen,BE,1140,58,Appartement ,2.0
Yvonand,VD,1750,106,Duplex ,3.5
Arbon,TG,1012,89,Duplex ,3.5
Vernier,GE,6500,145,Appartement ,6.0
Kirchberg,BE,1450,101,Appartement ,4.5
Vernier,GE,6000,159,Appartement ,6.0
Valbroye,VD,2400,150,Maison jumelée ,6.5
La Chaux-de-Fonds,NE,1000,40,Appartement ,2.0
Neuchâtel,NE,1675,86,Appartement ,3.5
Zürich,ZH,2467,51,Appartement ,2.5
Gossau,SG,1930,122,Appartement ,5.5
Vernier,GE,1890,67,Appartement ,3.0
Oberwil,BL,2152,94,Appartement ,3.5
Saint-Sulpice,VD,2160,81,Appartement ,4.0
Tägerwilen,TG,950,69,Appartement ,2.0
Bottmingen,BL,1250,49,Dernier étage ,1.5
Zürich,ZH,2440,62,Appartement ,2.5
Aarburg,AG,1640,86,Appartement ,3.5
Muttenz,BL,1530,71,Appartement ,3.0
Pfungen,ZH,1970,109,Appartement ,4.5
Develier,JU,860,52,Appartement ,2.0
Montreux,VD,2950,90,Appartement meublé ,3.5
Neuchâtel,NE,2550,127,Duplex ,4.5
Grandevent,VD,1690,220,Duplex ,5.5
La Tène,NE,1470,103,Appartement ,4.5
Sargans,SG,1320,56,Dernier étage ,2.5
Münchenstein,BL,1350,66,Appartement ,2.0
Develier,JU,1200,76,Appartement ,3.5
Milvignes,NE,809,37,Studio ,1.0
Zuchwil,SO,1280,81,Appartement ,4.5
Visperterminen,VS,1720,108,Appartement ,4.5
Düdingen,FR,1350,101,Appartement ,3.5
Köniz,BE,1638,75,Appartement ,3.5
Haute-Sorne,JU,950,90,Appartement ,4.0
Vernier,GE,1505,50,Appartement ,1.0
Develier,JU,990,88,Appartement ,4.0
Winterthur,ZH,2825,131,Appartement ,4.5
Chavannes-près-Renens,VD,1596,78,Appartement ,3.5
Liestal,BL,1330,76,Appartement ,4.5
Zürich,ZH,3090,36,Appartement,
Zürich,ZH,2290,20,Appartement,
Zürich,ZH,2990,23,Appartement,
Zürich,ZH,3890,37,Appartement ,2.0
Therwil,BL,1850,114,Appartement ,5.0
Münchenstein,BL,2774,106,Appartement ,3.5
Oensingen,SO,1170,71,Appartement ,3.0
Zürich,ZH,3890,38,Appartement,
Kirchberg,BE,1050,74,Appartement ,4.0
Montreux,VD,2700,77,Appartement ,3.5
Urdorf,ZH,2290,123,Appartement ,5.5
Rossemaison,JU,1320,95,Appartement ,4.5
Develier,JU,1050,91,Appartement ,3.5
Köniz,BE,1450,73,Appartement ,3.5
Zürich,ZH,4600,160,Appartement ,6.0
Meggen,LU,1320,58,Appartement ,3.0
Bernex,GE,2840,101,Appartement ,5.0
Ormalingen,BL,1460,89,Appartement ,4.5
Thundorf,TG,1465,84,Appartement ,5.0
Wohlen bei Bern,BE,2050,119,Appartement ,4.5
Develier,JU,1180,98,Appartement ,4.5
Schaffhausen,SH,1090,63,Appartement ,2.5
Etoy,VD,1998,90,Duplex ,3.5
Gossau,SG,1800,108,Appartement ,4.5
Develier,JU,880,90,Appartement ,3.5
Münchwilen,TG,1310,87,Appartement ,4.5
Thun,BE,1195,62,Appartement ,2.5
Langenthal,BE,1580,94,Appartement ,3.5
Zürich,ZH,3290,33,Appartement,
Zürich,ZH,2990,31,Appartement,
Zürich,ZH,2290,21,Appartement,
Zürich,ZH,3090,34,Appartement,
Zürich,ZH,3290,28,Appartement,
Zürich,ZH,3690,30,Appartement,
Zürich,ZH,2490,28,Appartement,
Zürich,ZH,6100,86,Appartement ,2.0
Uster,ZH,1561,101,Appartement ,4.5
Payerne,VD,1200,98,Dernier étage ,2.5
Meggen,LU,1990,100,Appartement ,4.5
Massagno,TI,2384,131,Appartement ,4.5
Thal,SG,1330,76,Appartement ,3.5
Moudon,VD,1200,70,Appartement ,2.5
Ménières,FR,1220,90,Appartement ,3.5
Rapperswil-Jona,SG,1770,98,Appartement ,4.5
La Rippe,VD,1400,51,Appartement ,2.5
Zürich,ZH,2080,63,Appartement ,3.0
Solothurn,SO,1279,67,Appartement ,3.0
Rüttenen,SO,1792,83,Dernier étage ,3.5
Pfäffikon,ZH,2024,95,Appartement ,4.5
Bas-Intyamon,FR,1500,72,Appartement ,4.0
Prangins,VD,3503,95,Appartement ,4.5
Epalinges,VD,2160,87,Appartement ,3.5
Crans-Montana,VS,2500,90,Appartement ,4.5
Crans-Montana,VS,2300,85,Appartement ,3.5
Bogis-Bossey,VD,4400,212,Duplex ,6.5
Thunstetten,BE,1140,72,Appartement ,4.0
Villars-sur-Glâne,FR,1334,84,Appartement ,3.5
Vernier,GE,3300,56,Appartement meublé ,3.0
Gossau,SG,1110,52,Appartement ,2.0
Belfaux,FR,1390,160,Loft,
Winterthur,ZH,1850,80,Duplex ,3.5
Muttenz,BL,1290,85,Appartement ,3.0
Courroux,JU,1340,128,Appartement ,4.5
Pfeffingen,BL,1660,79,Appartement ,3.0
Vernier,GE,1340,33,Appartement ,2.0
Vernier,GE,4700,113,Appartement ,4.0
La Chaux-de-Fonds,NE,950,67,Appartement ,3.0
Münchenstein,BL,1979,102,Appartement ,3.5
Solothurn,SO,1352,92,Appartement ,3.5
Saint-Maurice,VS,1500,108,Appartement ,4.5
Kirchberg,BE,1550,86,Appartement ,3.5
Liestal,BL,1530,94,Appartement ,4.5
Rüttenen,SO,1340,53,Dernier étage ,1.5
Berneck,SG,1200,72,Appartement ,2.5
Urtenen-Schönbühl,BE,1330,80,Appartement ,3.5
Meggen,LU,2783,96,Attique ,4.0
Cologny,GE,8500,205,Appartement meublé ,6.0
Schaffhausen,SH,1360,83,Appartement ,3.5
Saint-Sulpice,VD,1350,37,Appartement ,1.0
Mendrisio,TI,1450,64,Appartement ,2.5
Windisch,AG,1170,63,Appartement ,3.5
Thun,BE,1140,57,Appartement ,2.5
L'Isle,VD,2200,100,Maison contiguë ,3.5
Haute-Sorne,JU,780,52,Appartement ,2.0
Vernier,GE,7100,176,Appartement ,6.0
Zuchwil,SO,1180,70,Appartement ,3.5
Plan-les-Ouates,GE,3520,120,Appartement ,5.0
Haute-Sorne,JU,850,79,Appartement ,3.5
Villorsonnens,FR,1150,50,Appartement ,2.5
Saint-Sulpice,VD,1150,45,Appartement ,2.0
Develier,JU,1350,109,Appartement ,4.5
Winterthur,ZH,710,29,Appartement ,1.0
Reconvilier,BE,1290,135,Appartement ,3.5
Neuchâtel,NE,790,21,Studio ,1.0
Grenchen,SO,738,54,Appartement ,2.5
Münchwilen,TG,1940,139,Appartement ,5.5
Massagno,TI,1316,76,Appartement ,3.5
Uttwil,TG,1700,100,Appartement ,4.5
Münchenstein,BL,1200,54,Appartement ,2.0
Monteceneri,TI,1245,52,Appartement ,2.5
Münchenstein,BL,1930,103,Loft ,1.0
Cologny,GE,3400,40,Appartement ,1.0
Muttenz,BL,1700,94,Appartement ,4.5
La Chaux-de-Fonds,NE,1160,88,Appartement ,4.5
Roches,BE,1000,62,Appartement ,3.5
Tafers,FR,570,21,Appartement ,1.5
Villars-sur-Glâne,FR,560,20,Appartement ,1.0
Rheinfelden,AG,680,25,Studio ,1.0
Rheinfelden,AG,1630,98,Appartement ,3.5
Basse-Allaine,JU,850,80,Appartement ,4.5
Jongny,VD,5200,240,Maison ,6.5
Villars-sur-Glâne,FR,2493,132,Duplex ,6.5
Crans-Montana,VS,3500,119,Appartement ,4.5
Münchenstein,BL,2500,96,Dernier étage ,3.0
Stein am Rhein,SH,1250,61,Appartement ,2.5
Gland,VD,1940,72,Appartement ,3.0
Crans-Montana,VS,1330,84,Appartement ,3.0
Montreux,VD,1100,30,Studio ,1.0
Zürich,ZH,1839,30,Appartement meublé ,1.0
Münchenstein,BL,2880,80,Appartement meublé ,5.0
Zürich,ZH,2856,47,Appartement meublé ,3.0
Zürich,ZH,2856,37,Appartement meublé ,1.0
Paradiso,TI,2706,70,Appartement meublé ,5.0
Wallisellen,ZH,3744,53,Appartement meublé ,4.0
Zürich,ZH,3700,43,Appartement meublé ,2.0
Münchenstein,BL,2070,36,Appartement meublé ,1.0
Meggen,LU,2128,31,Appartement meublé ,1.0
Zürich,ZH,2912,36,Appartement meublé ,4.0
Payerne,VD,1690,78,Appartement ,3.5
Bellinzona,TI,930,40,Appartement ,1.5
Zollikon,ZH,4950,140,Appartement ,3.5
La Chaux-de-Fonds,NE,800,82,Appartement ,3.0
Tafers,FR,1100,55,Appartement ,2.0
Lens,VS,1500,90,Appartement ,3.0
Caslano,TI,770,42,Appartement ,1.5
La Chaux-de-Fonds,NE,550,27,Appartement ,1.0
Crans-Montana,VS,1750,80,Appartement ,3.0
Zuchwil,SO,1110,73,Appartement ,3.0
Münchenstein,BL,2688,56,Appartement meublé ,4.0
Saint-Imier,BE,700,67,Appartement ,2.0
Münchenbuchsee,BE,1555,86,Appartement ,4.5
Le Chenit,VD,1100,84,Appartement ,3.5
Tafers,FR,1370,70,Appartement ,3.5
Münchenstein,BL,2968,29,Appartement meublé,
Münchenstein,BL,3412,45,Appartement meublé ,1.0
Zumikon,ZH,13500,480,Maison ,9.0
Zürich,ZH,3000,40,Appartement meublé ,1.0
Kloten,ZH,2450,20,Appartement meublé ,1.0
Meggen,LU,2619,47,Appartement meublé ,1.0
Münchenstein,BL,2896,46,Appartement meublé ,4.0
Zürich,ZH,1950,15,Appartement meublé,
Münchenstein,BL,1650,20,Appartement meublé ,1.0
Zürich,ZH,2390,20,Appartement meublé,
Zürich,ZH,1890,13,Appartement meublé,
Winterthur,ZH,2090,36,Appartement meublé,
Saint-Sulpice,VD,1690,88,Appartement ,3.0
Münchenstein,BL,2600,122,Duplex ,2.5
Belfaux,FR,1635,93,Appartement ,3.5
Develier,JU,480,14,Studio ,1.0
Gibloux,FR,1240,84,Appartement ,3.5
Zürich,ZH,2814,22,Appartement meublé,
Bettlach,SO,855,81,Appartement ,4.5
Muttenz,BL,1265,68,Appartement ,3.5
Saint-Sulpice,VD,875,18,Appartement ,1.0
Hölstein,BL,1725,120,Appartement ,4.5
Münchenstein,BL,2695,70,Appartement meublé ,3.0
Zug,ZG,3696,50,Appartement meublé ,6.0
Saint-Sulpice,VD,2400,112,Appartement ,3.5
Gurmels,FR,2830,148,Attique ,5.5
Rüttenen,SO,1080,79,Appartement ,4.0
Develier,JU,1315,90,Appartement ,3.5
Caslano,TI,790,27,Appartement ,1.5
Tafers,FR,1070,68,Appartement ,3.0
Develier,JU,950,68,Appartement ,3.0
Crans-Montana,VS,3900,89,Appartement ,3.5
Allschwil,BL,1350,60,Dernier étage ,1.5
Sion,VS,1330,75,Appartement ,2.5
Bätterkinden,BE,1300,54,Attique ,2.5
Zug,ZG,3528,57,Appartement meublé ,3.0
Ostermundigen,BE,1580,76,Appartement ,3.5
Seedorf,BE,1440,91,Appartement ,3.5
Therwil,BL,1770,86,Duplex ,3.5
Vallorbe,VD,1170,58,Appartement ,2.5
Rapperswil-Jona,SG,2190,117,Appartement ,4.5
Tafers,FR,1300,94,Appartement ,3.5
Fully,VS,2500,146,Attique ,4.5
Crans-Montana,VS,2900,120,Appartement ,4.5
Arth,SZ,950,51,Appartement ,2.0
Roches,BE,650,26,Studio ,1.5
Granges-Paccot,FR,1780,102,Appartement ,4.5
Crans-Montana,VS,2900,95,Appartement ,4.5
Zürich,ZH,2744,32,Appartement meublé ,4.0
Tafers,FR,1590,100,Appartement ,4.5
Le Locle,NE,810,72,Appartement ,3.5
Waldenburg,BL,1640,119,Appartement ,4.5
Thundorf,TG,3400,195,Attique ,4.5
La Chaux-de-Fonds,NE,1280,115,Appartement ,6.0
Langenthal,BE,1270,99,Appartement ,4.5
Neuchâtel,NE,1875,86,Appartement ,3.5
Zürich,ZH,2968,40,Appartement meublé ,4.0
Zürich,ZH,2520,18,Appartement meublé ,1.0
Zug,ZG,3248,38,Appartement meublé ,4.0
Zürich,ZH,2800,38,Appartement meublé ,4.0
Zürich,ZH,2688,27,Appartement meublé ,1.0
Münchenstein,BL,2688,52,Appartement meublé ,4.0
Lugano,TI,2599,55,Appartement meublé ,2.0
Hergiswil,NW,1550,71,Appartement ,2.5
Münchenstein,BL,2700,110,Duplex ,3.5
Meggen,LU,2128,31,Appartement meublé ,1.0
Leysin,VD,1600,65,Appartement ,3.0
Allschwil,BL,1590,79,Appartement ,3.5
Develier,JU,1090,91,Appartement ,4.5
Sainte-Croix,VD,650,14,Studio ,1.0
La Chaux-de-Fonds,NE,1185,118,Appartement ,4.5
Zürich,ZH,1980,52,Appartement ,2.5
Paradiso,TI,2101,60,Appartement meublé ,6.0
Develier,JU,1150,113,Appartement ,5.0
Bellinzona,TI,980,65,Appartement ,3.5
Frauenkappelen,BE,1750,101,Appartement ,4.0
Vernier,GE,1600,31,Appartement meublé ,2.0
Develier,JU,1390,117,Duplex ,3.5
Kirchberg,BE,1300,65,Appartement ,2.5
Winterthur,ZH,2700,95,Appartement ,3.5
Schaffhausen,SH,1250,53,Appartement ,3.0
Crans-Montana,VS,2600,75,Appartement ,3.0
La Chaux-de-Fonds,NE,1320,100,Appartement ,4.5
Montreux,VD,4950,170,Appartement ,4.5
Gossau,SG,635,32,Appartement ,1.5
La Chaux-de-Fonds,NE,1300,108,Appartement ,4.5
Vevey,VD,1531,74,Appartement ,3.0
La Tour-de-Peilz,VD,2800,56,Appartement ,3.0
Chiasso,TI,1070,60,Appartement ,2.5
Vernier,GE,7500,188,Appartement ,7.0
Thundorf,TG,1630,81,Appartement ,2.5
Zürich,ZH,3490,40,Appartement meublé ,1.0
Vernier,GE,8900,205,Appartement ,7.0
Thundorf,TG,1310,58,Appartement ,2.5
Crans-Montana,VS,3500,110,Appartement ,4.5
Liestal,BL,1757,69,Appartement ,3.5
Chiasso,TI,750,34,Appartement ,1.5
Döttingen,AG,3200,60,Appartement meublé ,3.0
Zürich,ZH,2950,40,Appartement meublé ,2.0
Reinach,AG,2422,154,Appartement ,5.5
Crans-Montana,VS,2300,86,Appartement ,4.5
Regensdorf,ZH,2376,36,Appartement meublé ,1.0
Chiasso,TI,860,65,Appartement ,3.5
Chêne-Bougeries,GE,2100,41,Studio ,2.0
Hägendorf,SO,1240,95,Appartement ,4.5
Biasca,TI,900,88,Appartement ,4.5
Payerne,VD,1450,110,Appartement ,4.5
Goldach,SG,1740,115,Appartement ,4.5
La Brillaz,FR,1150,80,Appartement ,4.5
Courroux,JU,810,71,Appartement ,3.5
Montreux,VD,1150,18,Studio ,1.5
Montreux,VD,1150,29,Studio ,1.5
Saint-Sulpice,VD,1800,90,Appartement ,4.0
Leytron,VS,1450,73,Appartement ,4.5
Saint-Imier,BE,1200,70,Appartement ,4.5
Winterthur,ZH,1680,80,Appartement ,3.5
Münchenstein,BL,1663,28,Appartement meublé ,2.0
Paradiso,TI,1260,47,Appartement ,2.5
Vernier,GE,16000,285,Appartement ,9.0
Chiasso,TI,1030,60,Appartement ,2.5
Tolochenaz,VD,1580,78,Appartement ,3.5
La Chaux-de-Fonds,NE,1045,83,Appartement ,4.0
Chiasso,TI,1070,60,Appartement ,2.5
Sennwald,SG,1410,92,Appartement ,3.5
Frauenkappelen,BE,1550,68,Appartement ,2.5
Montreux,VD,1400,55,Appartement ,2.5
Münchwilen,TG,770,27,Appartement ,1.5
Visperterminen,VS,1600,92,Loft ,3.5
Münchenstein,BL,1611,35,Appartement meublé ,4.0
Termen,VS,2500,166,Appartement,
Le Locle,NE,790,100,Appartement ,3.0
Münchwilen,TG,1130,43,Appartement ,2.5
Grenchen,SO,1540,90,Appartement ,4.5
Waldkirch,SG,780,64,Appartement ,2.5
Männedorf,ZH,1800,75,Attique ,2.5
Saint-Sulpice,VD,2420,88,Appartement ,3.0
Rüdtligen-Alchenflüh,BE,1080,64,Appartement ,2.0
Zuchwil,SO,1580,124,Appartement ,4.5
Bottmingen,BL,1540,75,Appartement ,2.5
Schaffhausen,SH,1250,61,Appartement ,2.5
Paradiso,TI,3875,31,Appartement meublé,
Schleitheim,SH,2186,170,Appartement ,5.5
Pratteln,BL,1400,82,Appartement ,3.5
Gossau,SG,1260,84,Appartement ,3.5
Belmont-Broye,FR,1185,51,Appartement ,2.5
Zürich,ZH,1787,25,Appartement meublé ,1.0
Thun,BE,1430,79,Appartement ,4.0
Langenthal,BE,700,32,Appartement ,1.0
Vernayaz,VS,2050,109,Appartement ,4.5
Hägglingen,AG,1310,75,Appartement ,4.0
Münchenstein,BL,380,16,Chambre ,1.0
Bremgarten bei Bern,BE,1350,70,Appartement ,3.5
Winterthur,ZH,1600,57,Appartement ,2.5
Riehen,BS,1700,80,Appartement ,3.0
Bellinzona,TI,1210,54,Appartement ,2.5
Oberentfelden,AG,1429,107,Appartement ,4.5
Dornach,SO,1610,84,Appartement ,4.0
Thun,BE,1370,97,Appartement ,4.5
Tafers,FR,1610,117,Appartement ,4.5
La Chaux-de-Fonds,NE,1350,122,Appartement ,3.5
Massongex,VS,1600,108,Appartement ,4.5
La Chaux-de-Fonds,NE,1100,78,Appartement ,4.0
Estavayer,FR,1500,122,Chalet ,4.5
La Chaux-de-Fonds,NE,770,50,Appartement ,3.0
La Chaux-de-Fonds,NE,1400,94,Appartement ,3.0
La Chaux-de-Fonds,NE,975,69,Appartement ,3.5
Le Locle,NE,800,72,Appartement ,4.0
Le Locle,NE,930,73,Appartement ,3.5
Le Locle,NE,830,72,Appartement ,4.5
La Chaux-de-Fonds,NE,750,66,Appartement ,3.0
Payerne,VD,1040,51,Appartement ,2.5
Meggen,LU,1800,127,Attique ,3.5
La Chaux-de-Fonds,NE,850,70,Appartement ,3.0
Rheinau,ZH,1500,100,Appartement ,5.5
La Chaux-de-Fonds,NE,800,80,Appartement ,3.0
Massongex,VS,1250,80,Appartement ,3.5
Frauenkappelen,BE,1200,58,Appartement ,2.0
Courroux,JU,750,66,Appartement ,2.5
Develier,JU,970,74,Appartement ,3.0
Zürich,ZH,3800,45,Appartement meublé ,3.0
Münchenstein,BL,1500,70,Appartement ,3.0
Münchenstein,BL,1300,63,Appartement ,2.0
Saint-Imier,BE,340,19,Studio ,1.0
Saxon,VS,1525,89,Appartement ,3.5
Marly,FR,2065,93,Duplex ,3.5
Luterbach,SO,1280,61,Appartement ,2.5
Therwil,BL,2090,83,Appartement ,3.5
Visperterminen,VS,1675,93,Appartement ,4.5
Le Locle,NE,1000,105,Appartement ,5.0
Develier,JU,1590,128,Appartement ,4.5
Vernier,GE,7350,213,Appartement ,6.0
Zürich,ZH,3590,35,Appartement meublé ,2.0
Montreux,VD,2300,100,Appartement ,4.5
Massongex,VS,1300,80,Appartement ,3.5
Paradiso,TI,3773,30,Appartement meublé,
Payerne,VD,1600,95,Appartement ,4.5
Develier,JU,995,58,Appartement ,2.0
Saint-Sulpice,VD,2400,80,Appartement ,3.5
Münchenstein,BL,1200,54,Appartement ,2.0
Crans-Montana,VS,7000,237,Attique ,4.5
Develier,JU,1150,69,Appartement ,3.5
La Chaux-de-Fonds,NE,700,85,Appartement ,3.0
Villeneuve,VD,1580,55,Appartement ,2.5
Crans-Montana,VS,3000,80,Appartement ,3.5
Leysin,VD,1750,65,Appartement ,3.0
Milvignes,NE,1900,150,Appartement ,5.0
Saicourt,BE,1600,122,Appartement ,5.5
Moudon,VD,2303,111,Appartement ,4.5
Plaffeien,FR,1200,94,Appartement ,4.5
Val-de-Travers,NE,1200,98,Appartement ,2.0
Haute-Sorne,JU,700,52,Appartement ,2.5
Valbirse,BE,1450,97,Appartement ,3.5
Saint-Sulpice,VD,2000,77,Appartement ,3.0
Alto Malcantone,TI,3332,90,Appartement meublé ,1.0
Liestal,BL,2042,95,Appartement ,4.5
Pieterlen,BE,1130,65,Appartement ,2.5
Lausanne,VD,2355,94,Appartement ,4.5
La Chaux-de-Fonds,NE,920,69,Appartement ,4.0
Develier,JU,1450,108,Appartement ,4.5
Le Locle,NE,995,90,Appartement ,4.0
Saint-Sulpice,VD,3800,125,Appartement ,5.0
Saint-Sulpice,VD,1650,25,Chambre ,1.0
Vernier,GE,4900,116,Appartement ,4.0
La Chaux-de-Fonds,NE,1190,96,Appartement ,3.5
Le Locle,NE,610,59,Appartement ,3.0
Ménières,FR,2030,130,Appartement ,5.0
Val-de-Travers,NE,1390,80,Appartement ,3.5
Le Locle,NE,700,82,Appartement ,4.0
La Sarraz,VD,4000,130,Appartement ,5.5
Zürich,ZH,2464,21,Appartement meublé ,1.0
Blonay - Saint-Légier,VD,1980,94,Appartement ,4.0
Develier,JU,1240,94,Duplex ,4.0
La Chaux-de-Fonds,NE,750,50,Appartement ,3.0
Payerne,VD,1290,76,Appartement ,3.0
La Chaux-de-Fonds,NE,1000,77,Appartement ,3.5
Troistorrents,VS,500,20,Appartement,
Cologny,GE,10900,200,Villa ,7.0
Studen,BE,1390,90,Appartement ,4.0
Bottmingen,BL,1900,62,Appartement ,3.5
Lancy,GE,1550,52,Appartement ,3.0
Rorschach,SG,1130,50,Appartement ,2.5
Gossau,SG,1330,110,Appartement ,4.0
Develier,JU,940,88,Appartement ,4.0
La Grande Béroche,NE,3200,138,Maison contiguë ,4.5
Chêne-Bourg,GE,6900,270,Duplex ,8.0
Le Locle,NE,685,48,Appartement ,2.5
Montreux,VD,2140,97,Appartement ,3.5
Prangins,VD,2076,103,Appartement ,2.5
Schönenwerd,SO,1520,96,Appartement ,4.0
Zürich,ZH,1839,32,Appartement meublé ,1.0
La Chaux-de-Fonds,NE,2176,141,Appartement ,4.5
La Chaux-de-Fonds,NE,860,62,Appartement ,3.0
Ilanz/Glion,GR,1760,75,Appartement ,3.5
Münchenstein,BL,1940,105,Appartement ,5.0
Massagno,TI,1410,60,Appartement ,2.5
Sierre,VS,1600,85,Villa ,3.5
Courtepin,FR,1080,69,Appartement ,3.5
Crans-Montana,VS,1220,67,Appartement meublé ,3.5
La Chaux-de-Fonds,NE,770,58,Appartement ,3.0
Lausanne,VD,2175,85,Appartement ,4.5
La Chaux-de-Fonds,NE,760,58,Appartement ,2.5
Vufflens-le-Château,VD,8700,230,Maison ,6.5
Neuchâtel,NE,1450,83,Appartement ,4.0
Porrentruy,JU,1900,160,Appartement ,5.5
La Chaux-de-Fonds,NE,590,48,Appartement ,2.0
Payerne,VD,1660,96,Appartement ,3.5
La Chaux-de-Fonds,NE,950,81,Appartement ,3.0
Vernier,GE,16000,294,Appartement ,11.0
Frick,AG,1550,140,Appartement ,1.5
Gossau,SG,1378,22,Appartement meublé ,1.0
Kölliken,AG,1600,105,Duplex ,4.5
Biberist,SO,2700,160,Maison ,7.0
Neuchâtel,NE,1300,79,Appartement ,2.5
La Chaux-de-Fonds,NE,845,86,Appartement ,3.0
Goldach,SG,1540,117,Appartement ,5.5
Gossau,SG,1070,75,Appartement ,4.0
Gossau,SG,1350,62,Dernier étage ,3.5
Münchwilen,TG,1240,75,Appartement ,3.5
Konolfingen,BE,1190,65,Appartement ,3.5
Mézières,FR,1050,63,Appartement ,3.5
Münchwilen,TG,1590,95,Appartement ,3.5
Vérossaz,VS,1210,177,Appartement ,6.5
Mollens,VD,2550,225,Maison ,7.5
Riehen,BS,2100,108,Appartement ,3.5
Noble-Contrée,VS,1380,88,Appartement ,3.5
Avenches,VD,790,48,Appartement ,2.5
Crans-Montana,VS,580,60,Appartement meublé,
Develier,JU,1130,60,Appartement ,2.0
La Chaux-de-Fonds,NE,671,45,Appartement ,2.0
La Chaux-de-Fonds,NE,1700,129,Appartement ,4.5
Fully,VS,1890,124,Appartement ,4.5
Milvignes,NE,1250,95,Appartement ,4.0
Morges,VD,2800,110,Duplex ,3.5
Rennaz,VD,1070,71,Appartement ,2.0
Unterkulm,AG,1300,50,Appartement ,2.5
Arbedo-Castione,TI,1390,87,Appartement ,3.5
Zürich,ZH,3290,60,Appartement ,3.0
Zürich,ZH,2890,33,Appartement,
Therwil,BL,2135,113,Appartement ,3.5
Belmont-Broye,FR,1590,85,Appartement ,3.5
Choulex,GE,5272,186,Appartement ,7.0
Pully,VD,3550,117,Appartement meublé ,3.5
La Chaux-de-Fonds,NE,895,82,Appartement ,3.0
Montreux,VD,2170,104,Appartement ,4.0
Le Locle,NE,900,90,Appartement ,4.0
Reichenbach im Kandertal,BE,1400,107,Appartement ,4.5
Rennaz,VD,1070,71,Appartement ,2.5
Selzach,SO,1220,99,Duplex ,4.0
Saint-Sulpice,VD,2395,62,Appartement ,2.5
Pfeffingen,BL,1350,65,Appartement ,2.0
La Chaux-de-Fonds,NE,860,62,Appartement ,3.0
Muttenz,BL,1725,94,Duplex ,4.5
Saint-Sulpice,VD,2579,26,Appartement meublé,
Saint-Sulpice,VD,2379,24,Appartement,
Münchenstein,BL,2890,31,Studio,
Münchenstein,BL,3090,27,Appartement,
Münchenstein,BL,2790,31,Studio,
Meggen,LU,1895,21,Studio,
Zug,ZG,2949,26,Appartement,
Saint-Sulpice,VD,2990,45,Appartement meublé,
Biasca,TI,750,60,Appartement ,2.5
Vernier,GE,4500,52,Appartement ,2.0
Zürich,ZH,3290,26,Studio,
Zürich,ZH,5600,58,Appartement,
Neuheim,ZG,5786,85,Appartement,
Zürich,ZH,4680,54,Appartement ,2.0
Opfikon,ZH,1690,16,Studio,
Opfikon,ZH,2390,27,Appartement,
Opfikon,ZH,3190,29,Appartement,
Vevey,VD,2500,26,Appartement,
Vevey,VD,2450,28,Appartement,
Zürich,ZH,2390,20,Appartement,
Zürich,ZH,2090,16,Appartement,
Zürich,ZH,4190,36,Appartement,
Zürich,ZH,3580,44,Appartement,
Morges,VD,2380,119,Duplex ,3.0
Montreux,VD,3380,110,Appartement ,5.0
Selzach,SO,1120,63,Appartement ,2.5
Vich,VD,1780,62,Appartement ,3.0
Obersiggenthal,AG,1480,75,Appartement ,3.5
Münchenstein,BL,2475,45,Appartement meublé ,7.0
Neuchâtel,NE,2220,83,Attique ,3.5
